,dataset,fold,ta_name,metric_error,metric_error_val,time_train_s,time_infer_s,method_subtype,n_samples_train_per_fold,n_features
0,SDSS17,0,PrepTabM,0.0685880509653731,0.0697646298641516,3433.3930583000183,134.5540554523468,default,52036,11
1,SDSS17,0,PrepTabM,0.0660611167550087,0.0679121986031532,136399.81321835518,63.24797987937927,tuned,52036,11
2,SDSS17,0,PrepTabM,0.0658742263913154,0.0670552626252174,136399.81321835518,890.3494131565094,tuned_ensemble,52036,11
3,GiveMeSomeCredit,0,PrepTabM,0.1310131775177843,0.1373432210762712,3420.420482635498,98.4696807861328,default,100000,10
4,GiveMeSomeCredit,0,PrepTabM,0.1301705229483628,0.1360448418042961,95260.1855547428,142.2805533409119,tuned,100000,10
5,GiveMeSomeCredit,0,PrepTabM,0.1293213847434451,0.1351242024390834,95260.1855547428,1695.2048959732056,tuned_ensemble,100000,10
6,customer_satisfaction_in_airline,0,PrepTabM,0.0057441392550702,0.0059861129984023,3430.2488689422607,129.75201177597046,default,86587,21
7,customer_satisfaction_in_airline,0,PrepTabM,0.0053055194435155,0.0054384363671314,161001.05606889725,59.15693950653076,tuned,86587,21
8,customer_satisfaction_in_airline,0,PrepTabM,0.005056855704798,0.0050474849196314,161001.05606889725,599.6877918243408,tuned_ensemble,86587,21
9,blood-transfusion-service-center,2,PrepTabM,0.2827386262265834,0.2229655019902697,32.42457962036133,1.1150872707366943,default,499,4
10,blood-transfusion-service-center,2,PrepTabM,0.2895182872435325,0.2162649270234409,1381.4417703151703,0.9468498229980468,tuned,499,4
11,blood-transfusion-service-center,2,PrepTabM,0.2869313113291704,0.2118421052631579,1381.4417703151703,9.25447154045105,tuned_ensemble,499,4
12,blood-transfusion-service-center,1,PrepTabM,0.2086529884032112,0.2637328615656789,32.56043338775635,1.0368061065673828,default,499,4
13,blood-transfusion-service-center,1,PrepTabM,0.2061552185548617,0.243188854489164,1384.3269317150116,0.7031176090240479,tuned,499,4
14,blood-transfusion-service-center,1,PrepTabM,0.2041034790365744,0.2401813356921716,1384.3269317150116,6.434850215911865,tuned_ensemble,499,4
15,blood-transfusion-service-center,0,PrepTabM,0.2719298245614034,0.242629348795718,20.608757495880127,0.9794590473175048,default,499,4
16,blood-transfusion-service-center,0,PrepTabM,0.2625438596491228,0.2309433541480821,983.9630873203278,0.6558914184570312,tuned,499,4
17,blood-transfusion-service-center,0,PrepTabM,0.2682456140350877,0.2260370205173951,983.9630873203278,7.513932704925537,tuned_ensemble,499,4
18,HR_Analytics_Job_Change_of_Data_Scientists,2,PrepTabM,0.1966226641724455,0.195867200389725,134.12997317314148,5.182676076889038,default,12772,12
19,HR_Analytics_Job_Change_of_Data_Scientists,2,PrepTabM,0.1976265607054858,0.1939036383156919,10152.62422299385,8.028045177459717,tuned,12772,12
20,HR_Analytics_Job_Change_of_Data_Scientists,2,PrepTabM,0.1964239149240582,0.1927713406676687,10152.62422299385,67.46116828918457,tuned_ensemble,12772,12
21,HR_Analytics_Job_Change_of_Data_Scientists,1,PrepTabM,0.2009691893971317,0.1952953854472279,132.9970898628235,5.196138858795166,default,12772,12
22,HR_Analytics_Job_Change_of_Data_Scientists,1,PrepTabM,0.2003704641270599,0.1935364461195572,10314.296061754229,3.6259708404541016,tuned,12772,12
23,HR_Analytics_Job_Change_of_Data_Scientists,1,PrepTabM,0.2003191017666555,0.1914690861300109,10314.296061754229,27.549470901489254,tuned_ensemble,12772,12
24,HR_Analytics_Job_Change_of_Data_Scientists,0,PrepTabM,0.1884562308832439,0.199439553725864,146.33531427383423,6.39198637008667,default,12772,12
25,HR_Analytics_Job_Change_of_Data_Scientists,0,PrepTabM,0.1884743125305291,0.1962954478354797,11004.483943939207,8.584649324417114,tuned,12772,12
26,HR_Analytics_Job_Change_of_Data_Scientists,0,PrepTabM,0.1886603045473508,0.1937142116998768,11004.483943939207,87.01436614990234,tuned_ensemble,12772,12
27,credit-g,2,PrepTabM,0.2163090128755365,0.1882012847965738,63.92642593383789,3.5216031074523926,default,667,20
